order_id,customer,amount,order_date
1119,carol,463.25,2026-07-02
1119,carol,n/a,2026-04-20
1121,carol,441.3,2026-07-29
1122,carol,369.6,2026-06-20
1123, bob,402.11,2026-04-13
1124,dave,137.07,2026-04-23
1125,bob,194.36,2026-07-28
1126,carol,115.1,n/a
1127,carol,178.08,2026-04-18
1128,dave,115.35,2026-05-09
1129,dave,202.24,2026-06-27
1130,bob,483.61,2026-06-27
1131,ALICE ,322.53,2026-06-11
1132,ALICE ,14804.05,2026-06-29
1133,carol,292.39,2026-06-29
1134,alice,58.66,2026-06-07
1134,ALICE ,365.63,2026-13-01
1136, bob,305.07,2026-05-28
1137,bob,195.67,2026-05-20
1138,dave,131.09,2026-05-03
1139, bob,5.84,2026-04-05
1140,dave,185.29,2026-07-24
1141,ALICE ,313.46,2026-05-09
1142,bob,361.28,2026-06-24
1143,erin,335.11,2026-06-21
1144, bob,350.12,n/a
1145,carol,99.96,2026-05-08
1146, bob,340.27,2026-04-08
1147,carol,309.68,2026-06-24
1148, bob,276.23,2026-08-01
1149,erin,147.02,2026-06-07
1149,ALICE ,n/a,2026-06-06
1151,dave,258.03,2026-04-22
1152,carol,331.13,2026-06-26
1153,ALICE ,51.23,2026-04-27
1154,dave,24094.46,2026-07-07
1155,carol,17.09,2026-07-01
1156,carol,307.58,2026-04-25
1157,bob,230.43,2026-04-10
1158,dave,360.58,2026-06-13
1159,carol,202.83,2026-07-14
1160,alice,446.87,2026-04-13
1161,bob,390.32,2026-07-04
1162,carol,403.03,n/a
1163,carol,29.86,2026-07-01
1164,bob,230.95,2026-04-21
1164,carol,335.45,2026-05-22
1166,ALICE ,475.27,2026-04-09
1167,carol,308.26,2026-05-01
1168, bob,416.13,2026-05-23
1169,carol,449.12,2026-04-28
1170,carol,227.78,2026-04-27
1171,dave,420.73,2026-06-27
1172,carol,315.24,2026-06-27
1173,carol,43.35,2026-06-26
1174,dave,139.5,2026-06-22
1175,bob,73.5,2026-07-03
1176, bob,65045.63,2026-07-24
1177, bob,206.76,2026-05-24
1178,carol,210.81,2026-07-06
1179, bob,197.79,2026-04-25
1179,alice,n/a,2026-13-01
1181, bob,241.1,2026-04-03
1182,ALICE ,152.81,2026-06-13
1183, bob,271.42,2026-04-29
1184,dave,246.67,2026-06-28
1185, bob,245.39,2026-06-13
1186,ALICE ,336.09,2026-04-21
1187, bob,363.47,2026-04-16
1188,carol,460.17,2026-05-14
1189,alice,453.93,2026-05-18
1190,alice,46.55,2026-06-08
1191,carol,434.09,2026-07-09
1192,alice,133.78,2026-06-21
1193,dave,230.08,2026-06-19
1194, bob,142.74,2026-04-17
1194, bob,129.87,2026-07-22
1196,carol,14.59,2026-05-24
1197,alice,499.95,2026-06-18
1198,dave,71404.81,n/a
1199,alice,378.35,2026-07-01
